text,label
Apple Inc. reported record quarterly earnings beating analyst expectations with strong iPhone sales and robust services revenue growth.,positive
Apple Inc. reported record quarterly earnings beating analyst expectations with strong iPhone sales and robust services revenue growth.,positive
Microsoft Azure cloud services revenue grew 35% year-over-year driven by increased enterprise digital transformation investments.,positive
Tesla stock surged after announcing breakthrough in battery technology that could extend vehicle range by 40% while reducing costs.,positive
Federal Reserve announced unexpected interest rate hike of 75 basis points citing persistent inflation concerns and tight labor markets.,negative
European Central Bank maintained benchmark interest rate at 4.0% in line with market expectations during monthly policy meeting.,neutral
The S&P 500 index closed unchanged at 4150 points with mixed sector performance as investors awaited key economic data releases.,neutral
Meta Platforms stock declined following announcement of additional workforce reductions affecting 15000 employees across multiple divisions.,negative
Microsoft Azure cloud services revenue grew 35% year-over-year driven by increased enterprise digital transformation investments.,positive
Tesla stock surged after announcing breakthrough in battery technology that could extend vehicle range by 40% while reducing costs.,positive
Federal Reserve announced unexpected interest rate hike of 75 basis points citing persistent inflation concerns and tight labor markets.,negative
Meta Platforms stock declined following announcement of additional workforce reductions affecting 15000 employees across multiple divisions.,negative
The S&P 500 index closed unchanged at 4150 points with mixed sector performance as investors awaited key economic data releases.,neutral
European Central Bank maintained benchmark interest rate at 4.0% in line with market expectations during monthly policy meeting.,neutral
