text,label,importance
"Stellantis to recall over 120,000 US vehicles due to head restraints issue, NHTSA says. Chrysler parent Stellantis is recalling 121,398 vehicles in the U.S. due to head restraints that may not lock properly and an increased risk of injury to the seat occupant during a crash, the U.S. National Highway Traffic Safety Administration said on Wednesday.",positive,critique
PayPal to launch cross-border platform with link to India's UPI payments system. Payments firm PayPal has partnered with the operator of India's popular unified payments interface and others to launch a global platform through which consumers can make cross-border payments to businesses.,positive,générale
"Alibaba launches open-source AI coding model, touted as its most advanced to date. Alibaba has launched an open-source artificial intelligence coding model, called Qwen3-Coder, it said in a statement on Wednesday.",positive,générale
"National Australia Bank CEO says he just has to weather media coverage of investor complaints. National Australia Bank's chief executive said on Wednesday that he just had to ""get through"" media coverage of investor complaints about his management style and drinking at customer events.",neutral,générale
"Oil rises on Japan trade deal and stronger demand indicated by US inventories. Oil prices steadied in early trading on Wednesday after falling for three consecutive sessions as a U.S. trade deal with Japan signaled progress on tariffs and a poll showed U.S. crude stockpiles fell last week, indicating stronger demand.",negative,générale
Thales raises 2025 sales growth forecast on strong defence demand. French defence and aerospace group Thales raised its 2025 sales growth forecast on Wednesday after posting higher first-half sales and profit amid higher military spending in Europe.,positive,générale
"Morgan Stanley's client-screening faces deeper FINRA probe, WSJ reports. The U.S. Financial Industry Regulatory Authority (FINRA) is investigating Morgan Stanley over how the firm screened clients for money-laundering risks, the Wall Street Journal reported on Tuesday, citing people familiar with the matter.",negative,générale
"Renault second-quarter sales volumes flat on drop in demand for vans. Renault reported zero growth in second-quarter sales volume on Wednesday, after a plunge in demand for vans in Europe offset growth in passenger cars.",positive,générale
"Equinor makes $955 million US offshore wind writedown. Norway's Equinor said on Wednesday it booked a $955 million impairment on an offshore wind project in the United States, despite the lifting of an earlier ban on its construction by President Donald Trump's administration.",positive,générale
"Pharvaris Announces Pricing of Upsized $175 Million Public Offering of Ordinary Shares and Pre-Funded Warrants. ZUG, Switzerland, July 22, 2025 (GLOBE NEWSWIRE) -- Pharvaris N.V. (“Pharvaris,” Nasdaq: PHVS), a late-stage biopharmaceutical company developing novel, oral bradykinin B2 receptor antagonists to address unmet needs of those living with bradykinin-mediated diseases such as hereditary angioedema (HAE) and acquired angioedema due to C1 inhibitor deficiency (AAE-C1INH), announced today the pricing of an underwritten offering of (i) 8,250,000 of its ordinary shares at a price of $20.00 per share and (ii) to one investor, pre-funded warrants to purchase 500,000 ordinary shares at a price of $19.99 per pre-funded warrant, which represents the per share public offering price for the ordinary shares less the $0.01 per share exercise price for each such pre-funded warrant. All shares and pre-funded warrants in the offering are to be sold by Pharvaris. In addition, Pharvaris has granted the underwriters a 30-day option to purchase up to an additional 1,312,500 ordinary shares at the public offering price, less underwriting discounts and commissions. The gross proceeds to Pharvaris from the offering, before deducting underwriting discounts and commissions and offering expenses, are expected to be approximately $175 million, excluding any exercise of the underwriters' option to purchase additional shares. The offering is expected to close on or about July 24, 2025, subject to satisfaction of customary closing conditions.",positive,générale
