text,label,importance,correlations
Wind turbine maker Nordex posts Q2 earnings above consensus. Wind turbine maker Nordex on Monday reported second quarter core earnings that were above analysts' consensus forecasts.,neutral,générale,NL:COCOA;CN:RUBBER;US:SOYBEAN
"Italy's MFE sweetens bid for Germany's ProSieben. MFE-MediaForEurope (MFE) , the TV group controlled by Italy's Berlusconi family, said on Monday it had improved its offer for German peer ProSiebenSat.1.",positive,générale,NL:COCOA;CN:RUBBER;US:SOYBEAN
"Brewer Heineken's first-half profits beat forecasts. Dutch brewer Heineken on Monday reported a 7.4% rise in half-year organic operating profit, ahead of analyst expectations, even as its sales in Europe dragged and tariff risks increased.",neutral,importante,NL:COCOA;CN:RUBBER;US:SOYBEAN
"Electrum Discovery Reports Results of its Annual and Special Meetings of Shareholders and Welcomes Michael Williams and John Anderson to the Board of Directors. Vancouver, Canada, July 2 8 , 2025 – TheNewswire - Electrum Discovery Corp. (“Electrum” and/or the “Company”) (TSX-V:ELY | FRA:R8N | OTC:ELDCF) is pleased to report the results of voting at its Annual General and Special Meeting (the “Meeting”) held on July 24th, 2025 in Vancouver, Canada. Shareholders voted in favor of all items put forward by the Board of Directors and management.   The Company warmly welcomes Michael Williams and John Anderson who were elected to the board of directors of the Company (the “Board”) to replace Eric Rasmussen and R. Michael Jones, whose terms ended at the Meeting.",neutral,générale,NL:COCOA;CN:RUBBER;US:SOYBEAN
"Elbit Systems Awarded $260 Million Contract to Supply DIRCM Self-Protection Systems for Germany's A400M Aircraft Fleet. HAIFA, Israel , July 28, 2025 /PRNewswire/ -- Elbit Systems Ltd. (NASDAQ: ESLT) (TASE: ESLT) (""Elbit Systems"" or the ""Company"") announced today that it was awarded a contract worth approximately $260 million by Airbus Defence and Space (""Airbus DS"") to supply its J-MUSIC™ Directed Infrared Counter Measures (DIRCM) self-protection systems, for installation on the German Air Force A400M transport aircraft.",positive,importante,NL:COCOA;CN:RUBBER;US:SOYBEAN
"Boeing Earnings Preview: Administration Support Could Be Important Tailwind As Boeing Digs Out Of Deep Hole. With the naming of Kelly Ortberg as the new CEO, and a Presidential Administration that wants to see American companies succeed within the global industrial complex, the significant black cloud that has surrounded Boeing has begun to lift. Analyst consensus is expecting $21.8 billion in revenue and a loss of $1.48 in earnings per share for Boeing for Q2 2025 as it tries to exit its worst business slump and loss of market confidence in its history. It appears as of late July '25 that BA will be far more profitable in 2026, and revenue is expected to grow from 2025 to 2026 by $13-15 billion.",neutral,générale,NL:COCOA;CN:RUBBER;US:SOYBEAN
"GFL Environmental Q2 Preview: Divesting Environmental Services A Major Step, Initiate 'Hold'. I view GFL Environmental's Environmental Services divestiture as a positive move, improving capital allocation and enabling focus on core solid waste operations. The company's cost optimization and robust M&A pipeline should drive margin expansion and support growth in the North American waste market. Despite low operating margins and some share dilution risks, GFL's disciplined acquisition strategy and debt reduction enhance its investment case.",neutral,importante,NL:COCOA;CN:RUBBER;US:SOYBEAN
"GENENTECH AND ROCHE PRESENT NEW INSIGHTS IN ALZHEIMER'S DISEASE RESEARCH ACROSS ITS DIAGNOSTICS AND PHARMACEUTICAL PORTFOLIOS AT AAIC. SOUTH SAN FRANCISCO, CALIF.--(BUSINESS WIRE)--GENENTECH, A MEMBER OF THE ROCHE GROUP (SIX: RO, ROG; OTCQX: RHHBY) ANNOUNCED TODAY THAT NEW DATA FROM ITS ALZHEIMER'S DEVELOPMENT PORTFOLIO IS BEING PRESENTED AT THE ALZHEIMER'S ASSOCIATION INTERNATIONAL CONFERENCE (AAIC) IN TORONTO, CANADA (JULY 27-30). THESE DATA EXEMPLIFY THE COMPREHENSIVE APPROACH ROCHE IS TAKING IN ADDRESSING ALZHEIMER'S ACROSS THE ENTIRE PATIENT JOURNEY. FEATURED ORAL PRESENTATIONS INCLUDE THE LATEST RESULTS FROM THE ONGOING.",neutral,générale,NL:COCOA;CN:RUBBER;US:SOYBEAN
"Transgene and BioInvent to Present Updated Data on Armed Oncolytic virus BT-001, at ESMO 2025. Poster presentation of updated data on BT-001 from the Phase I part of the ongoing Phase I/IIa study in solid tumors Strasbourg, France, and Lund, Sweden, July 28, 2025, 8:30 a.m. CEST – Transgene (Euronext Paris: TNG), a biotech company that designs and develops virus-based immunotherapies for the treatment of cancer, and BioInvent International AB (“BioInvent”) (Nasdaq Stockholm: BINV), a biotech company focused on the discovery and development of novel and first-in-class immune-modulatory antibodies for cancer immunotherapy, will jointly present a poster on updated data from the Phase I part of the Phase I/IIa study of BT-001 at the European Society for Medical Oncology (ESMO) Annual Meeting.",neutral,générale,NL:COCOA;CN:RUBBER;US:SOYBEAN
"Chocoladefabriken Lindt & Sprüngli AG (LDSVF) Q2 2025 Earnings Call Transcript. Chocoladefabriken Lindt & Sprüngli AG (OTCPK:LDSVF) Q2 2025 Earnings Conference Call July 22, 2025 4:00 AM ET Company Participants Adalbert Lechner - Group CEO & Member of Group Management Martin Hug - Group CFO, Head of Sustainability Executive Team & Member of Group Management Conference Call Participants Andreas von Arx - Baader-Helvea Equity Research Antoine Prevot - BofA Securities, Research Division Bingqing Zhu - Redburn (Europe) Limited, Research Division Callum Elliott - Sanford C. Bernstein & Co., LLC.",neutral,générale,NL:COCOA;CN:RUBBER;US:SOYBEAN
